epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,735.959,0.59249,0.30921,0.87651,0.93689,0.92594,0.95937,0.76403,0.76936,0.37846,0.99064,0.000517325,0.000517325,0.000517325
69,35.1089,0.60713,0.49562,0.88769,0.93751,0.91488,0.95598,0.73797,0.80254,0.42599,1.02182,0.000517325,0.000517325,0.000517325
70,70.1777,0.56349,0.31878,0.87085,0.92648,0.93762,0.96478,0.76345,0.76556,0.37804,0.9957,0.000515124,0.000515124,0.000515124
71,105.076,0.57038,0.30719,0.86897,0.92791,0.92358,0.95949,0.75963,0.77648,0.38017,0.99867,0.000512923,0.000512923,0.000512923
72,140.444,0.55073,0.29218,0.86161,0.92607,0.91593,0.96238,0.75814,0.77617,0.38557,1.00329,0.000510722,0.000510722,0.000510722
73,175.544,0.54722,0.28746,0.86502,0.93603,0.9172,0.96408,0.76153,0.7713,0.38127,1.00003,0.000508521,0.000508521,0.000508521
74,210.538,0.53704,0.28689,0.85667,0.93845,0.91633,0.96264,0.76063,0.78964,0.38969,1.01208,0.00050632,0.00050632,0.00050632
75,245.28,0.53723,0.28187,0.86235,0.9383,0.92472,0.96255,0.77433,0.76735,0.37043,0.99921,0.000504119,0.000504119,0.000504119
76,280.587,0.54739,0.28517,0.86165,0.93068,0.93082,0.96,0.76863,0.77556,0.38307,1.00252,0.000501917,0.000501917,0.000501917
77,315.392,0.54181,0.28318,0.85903,0.944,0.92084,0.96189,0.76177,0.78466,0.37393,1.00965,0.000499716,0.000499716,0.000499716
78,350.247,0.53798,0.28175,0.85781,0.9252,0.92326,0.96121,0.75526,0.79702,0.39304,1.01259,0.000497515,0.000497515,0.000497515
79,385.416,0.5375,0.28309,0.85649,0.9474,0.91872,0.96268,0.76622,0.77481,0.37264,1.00735,0.000495314,0.000495314,0.000495314
80,420.288,0.54298,0.28408,0.8612,0.94797,0.9167,0.96187,0.7715,0.76686,0.37407,0.99749,0.000493113,0.000493113,0.000493113
81,455.266,0.52872,0.27876,0.8534,0.95332,0.91703,0.96599,0.778,0.75352,0.36678,0.99045,0.000490912,0.000490912,0.000490912
82,490.539,0.52188,0.27365,0.85094,0.9453,0.91952,0.96342,0.76303,0.77483,0.37733,1.00086,0.000488711,0.000488711,0.000488711
83,525.888,0.5253,0.27679,0.85678,0.93943,0.91909,0.95917,0.76675,0.78456,0.3731,1.0062,0.00048651,0.00048651,0.00048651
84,560.741,0.52109,0.27247,0.85553,0.93561,0.92615,0.96446,0.77332,0.76093,0.36993,0.99823,0.000484309,0.000484309,0.000484309
85,595.55,0.53096,0.28091,0.85566,0.94426,0.91687,0.95748,0.75464,0.78703,0.38118,1.01336,0.000482108,0.000482108,0.000482108
85,35.3543,0.57068,0.47606,0.89364,0.93606,0.9134,0.95654,0.73785,0.77713,0.42578,1.00786,0.000482108,0.000482108,0.000482108
86,70.3687,0.51924,0.29951,0.85737,0.9424,0.92565,0.9629,0.76513,0.76354,0.38119,1.00289,0.000479907,0.000479907,0.000479907
87,105.224,0.51859,0.28276,0.85219,0.91891,0.93324,0.9617,0.76913,0.75726,0.38054,0.9984,0.000477705,0.000477705,0.000477705
88,140.392,0.5024,0.27081,0.84493,0.94768,0.92269,0.96342,0.76319,0.77457,0.37521,1.01215,0.000475504,0.000475504,0.000475504
89,175.273,0.49785,0.26695,0.84739,0.94951,0.90746,0.95949,0.7672,0.76727,0.37748,1.00715,0.000473303,0.000473303,0.000473303
90,210.198,0.49721,0.26513,0.8433,0.94351,0.9155,0.96281,0.75773,0.78007,0.37618,1.01674,0.000471102,0.000471102,0.000471102
91,245.314,0.48679,0.26241,0.84433,0.94318,0.92705,0.96469,0.76687,0.77843,0.37272,1.01127,0.000468901,0.000468901,0.000468901
92,280.304,0.50123,0.26589,0.84425,0.94481,0.92806,0.96588,0.77561,0.7593,0.36285,1.00267,0.0004667,0.0004667,0.0004667
93,315.201,0.48744,0.25918,0.8395,0.94036,0.92378,0.96417,0.77047,0.77096,0.36698,1.00713,0.000464499,0.000464499,0.000464499
94,350.143,0.47662,0.2568,0.83784,0.94184,0.91098,0.95861,0.75485,0.79247,0.3889,1.01787,0.000462298,0.000462298,0.000462298
