Class,Timestamp,x1,y1,x2,y2
Pterophyllum_Scalare_BB,2.7,258,175,344,281
G_Matriarche,2.7,544,153,630,191
Pterophyllum_Scalare_W,2.8,690,364,739,427
Pterophyllum_Scalare_B,2.8,754,522,793,597
G_Matriarche,2.8,539,154,624,193
Pterophyllum_Scalare_BB,2.8,253,176,340,282
Pterophyllum_Scalare_YWB,2.8,923,365,1011,463
Pterophyllum_Scalare_Y,2.8,1067,141,1134,208
Pterophyllum_Scalare_B,2.9,752,520,789,595
Pterophyllum_Scalare_W,2.9,689,366,738,429
Pterophyllum_Scalare_BB,2.9,245,178,328,282
G_Matriarche,2.9,536,155,621,194
Pterophyllum_Scalare_YWB,2.9,919,367,1005,462
Pterophyllum_Scalare_Y,2.9,1068,141,1135,207
G_Matriarche,3.0,533,156,616,196
Pterophyllum_Scalare_BB,3.0,235,184,321,281
Pterophyllum_Scalare_YWB,3.0,914,366,1001,464
Pterophyllum_Scalare_Y,3.0,1067,140,1134,206
Pterophyllum_Scalare_B,3.0,750,519,787,598
Pterophyllum_Scalare_W,3.0,689,369,737,428
Pterophyllum_Scalare_YWB,3.1,909,368,996,465
Pterophyllum_Scalare_BB,3.1,227,184,314,283
Pterophyllum_Scalare_B,3.1,749,517,784,598
Botia_Almorhae,3.1,58,185,90,296
G_Matriarche,3.1,529,157,613,201
Pterophyllum_Scalare_Y,3.1,1067,139,1133,206
Pterophyllum_Scalare_BB,3.2,217,184,305,283
Pterophyllum_Scalare_YWB,3.2,901,369,991,466
G_Matriarche,3.2,526,158,611,203
Pterophyllum_Scalare_Y,3.2,1067,137,1131,205
Pterophyllum_Scalare_B,3.2,747,515,784,598
Botia_Almorhae,3.2,57,176,86,290
Pterophyllum_Scalare_Y,3.3,1066,136,1130,204
Pterophyllum_Scalare_YWB,3.3,893,368,989,467
G_Matriarche,3.3,523,160,608,203
Pterophyllum_Scalare_W,3.3,690,383,730,433
Botia_Almorhae,3.3,56,174,87,294
Pterophyllum_Scalare_BB,3.3,210,185,297,281
Pterophyllum_Scalare_B,3.3,746,516,782,595
Pterophyllum_Scalare_Y,3.4,1066,134,1127,202
Pterophyllum_Scalare_YWB,3.4,885,370,987,466
Pterophyllum_Scalare_BB,3.4,198,187,286,282
Pterophyllum_Scalare_W,3.4,690,385,727,433
Pterophyllum_Scalare_B,3.4,745,515,779,585
G_Matriarche,3.4,519,161,605,204
G_Matriarche,3.5,517,162,600,207
Pterophyllum_Scalare_B,3.5,745,513,775,574
Pterophyllum_Scalare_Y,3.5,1066,132,1128,201
Pterophyllum_Scalare_YWB,3.5,879,372,983,467
Pterophyllum_Scalare_W,3.5,691,387,724,433
Pterophyllum_Scalare_BB,3.5,189,187,275,283
Pterophyllum_Scalare_B,3.6,744,511,773,572
Pterophyllum_Scalare_Y,3.6,1066,133,1126,200
Pterophyllum_Scalare_BB,3.6,181,186,266,282
Pterophyllum_Scalare_W,3.6,690,387,722,433
G_Matriarche,3.6,522,163,594,209
Pterophyllum_Scalare_YWB,3.6,874,374,974,467
G_Matriarche,3.7,521,163,558,201
Pterophyllum_Scalare_BB,3.7,170,184,256,278
Pterophyllum_Scalare_W,3.7,691,387,720,433
Pterophyllum_Scalare_B,3.7,744,509,774,571
Botia_Almorhae,3.7,55,133,78,258
Pterophyllum_Scalare_YWB,3.7,871,373,966,467
Pterophyllum_Scalare_Y,3.7,1066,131,1124,199
Pterophyllum_Scalare_YWB,3.8,867,373,960,467
Pterophyllum_Scalare_BB,3.8,162,180,245,276
Botia_Almorhae,3.8,55,133,78,257
Pterophyllum_Scalare_B,3.8,745,509,773,570
Pterophyllum_Scalare_Y,3.8,1068,130,1124,198
G_Matriarche,3.8,518,164,578,201
Pterophyllum_Scalare_Y,3.9,1067,129,1125,197
G_Matriarche,3.9,512,161,576,211
Pterophyllum_Scalare_BB,3.9,156,175,241,275
Pterophyllum_Scalare_YWB,3.9,864,372,954,470
Pterophyllum_Scalare_B,3.9,745,505,776,570
Botia_Almorhae,3.9,55,135,78,258
Pterophyllum_Scalare_BB,4.0,151,171,236,274
Pterophyllum_Scalare_Y,4.0,1068,128,1126,196
Pterophyllum_Scalare_YWB,4.0,861,370,949,473
G_Matriarche,4.0,511,163,572,217
Botia_Almorhae,4.0,163,469,229,534
Pterophyllum_Scalare_B,4.0,743,503,776,570
Botia_Almorhae,4.0,54,138,79,259
G_Matriarche,4.1,507,165,568,221
Pterophyllum_Scalare_YWB,4.1,856,372,944,475
Botia_Almorhae,4.1,54,140,80,262
Pterophyllum_Scalare_BB,4.1,147,169,227,273
Pterophyllum_Scalare_Y,4.1,1068,125,1127,194
Botia_Almorhae,4.1,167,483,244,540
Pterophyllum_Scalare_B,4.1,743,502,779,569
G_Matriarche,4.2,507,169,566,222
Pterophyllum_Scalare_YWB,4.2,850,371,940,477
Pterophyllum_Scalare_Y,4.2,1067,122,1127,192
Pterophyllum_Scalare_BB,4.2,144,168,223,272
Pterophyllum_Scalare_Y,4.2,652,381,691,432
Botia_Almorhae,4.2,54,142,81,263
Botia_Almorhae,4.2,186,495,259,546
Pterophyllum_Scalare_B,4.2,742,501,781,566
Pterophyllum_Scalare_Y,4.3,1066,120,1126,190
Pterophyllum_Scalare_BB,4.3,142,166,221,273
G_Matriarche,4.3,509,180,560,226
Botia_Almorhae,4.3,201,503,271,550
Pterophyllum_Scalare_YWB,4.3,844,373,935,478
Botia_Almorhae,4.3,55,143,81,266
Pterophyllum_Scalare_B,4.3,744,501,782,565
Botia_Almorhae,4.4,54,145,82,269
Pterophyllum_Scalare_YWB,4.4,838,375,931,479
Pterophyllum_Scalare_Y,4.4,1063,119,1124,189
Pterophyllum_Scalare_B,4.4,744,500,784,565
Pterophyllum_Scalare_BB,4.4,140,167,218,274
Pterophyllum_Scalare_Y,4.4,649,381,690,436
G_Matriarche,4.4,512,181,552,233
Pterophyllum_Scalare_B,4.5,745,501,785,564
Pterophyllum_Scalare_BB,4.5,138,167,216,274
Pterophyllum_Scalare_Y,4.5,1062,117,1121,188
Botia_Almorhae,4.5,55,147,82,274
Pterophyllum_Scalare_YWB,4.5,831,375,927,480
Pterophyllum_Scalare_Y,4.6,1062,118,1123,188
Pterophyllum_Scalare_B,4.6,746,500,785,564
G_Matriarche,4.6,507,193,565,253
Pterophyllum_Scalare_BB,4.6,136,166,214,274
Pterophyllum_Scalare_W,4.6,645,380,687,437
Botia_Almorhae,4.6,54,154,82,276
Pterophyllum_Scalare_YWB,4.6,826,376,923,480
Pterophyllum_Scalare_B,4.7,747,499,787,565
Botia_Almorhae,4.7,55,161,84,284
Pterophyllum_Scalare_Y,4.7,1061,117,1122,188
G_Matriarche,4.7,506,203,576,262
Pterophyllum_Scalare_YWB,4.7,823,375,920,481
Pterophyllum_Scalare_BB,4.7,135,167,212,275
Pterophyllum_Scalare_W,4.7,642,380,684,438
Pterophyllum_Scalare_W,4.8,639,379,683,438
G_Matriarche,4.8,519,221,585,270
G_Matriarche,4.8,574,200,616,238
Pterophyllum_Scalare_BB,4.8,134,169,209,276
Pterophyllum_Scalare_YWB,4.8,819,376,917,482
Pterophyllum_Scalare_Y,4.8,1062,118,1120,188
Pterophyllum_Scalare_B,4.8,747,497,788,564
Botia_Almorhae,4.8,55,171,85,291
Pterophyllum_Scalare_YWB,4.9,816,375,915,483
Pterophyllum_Scalare_Y,4.9,1061,118,1117,188
Pterophyllum_Scalare_BB,4.9,132,170,207,279
Pterophyllum_Scalare_B,4.9,748,497,790,563
G_Matriarche,4.9,523,226,601,280
Botia_Almorhae,4.9,56,181,86,294
Pterophyllum_Scalare_Y,5.0,1061,119,1117,188
Pterophyllum_Scalare_B,5.0,750,496,790,562
Botia_Almorhae,5.0,58,189,89,291
Pterophyllum_Scalare_BB,5.0,131,172,205,284
Corydoras_Panda,5.0,991,518,1024,576
G_Matriarche,5.0,534,235,615,292
Pterophyllum_Scalare_YWB,5.0,814,374,914,484
G_Matriarche,5.1,545,241,624,303
Pterophyllum_Scalare_Y,5.1,1060,118,1117,189
Pterophyllum_Scalare_Y,5.1,638,375,682,437
Pterophyllum_Scalare_B,5.1,751,494,791,560
Pterophyllum_Scalare_BB,5.1,130,176,201,289
Pterophyllum_Scalare_YWB,5.1,812,374,913,485
Botia_Almorhae,5.1,58,203,89,300
Pterophyllum_Scalare_YWB,5.2,811,374,911,485
Pterophyllum_Scalare_BB,5.2,127,180,196,294
G_Matriarche,5.2,557,244,633,313
Pterophyllum_Scalare_Y,5.2,1061,118,1117,189
Pterophyllum_Scalare_B,5.2,751,490,791,558
Pterophyllum_Scalare_Y,5.2,638,374,682,437
Corydoras_Panda,5.3,991,519,1027,575
Pterophyllum_Scalare_BB,5.3,64,226,97,287
Pterophyllum_Scalare_B,5.3,754,488,793,557
Pterophyllum_Scalare_Y,5.3,1062,121,1120,190
Pterophyllum_Scalare_BB,5.3,125,184,194,301
G_Matriarche,5.3,569,250,642,322
Pterophyllum_Scalare_Y,5.3,638,374,682,437
Pterophyllum_Scalare_YWB,5.3,810,374,910,484
Pterophyllum_Scalare_YWB,5.4,810,373,909,484
G_Matriarche,5.4,589,255,651,339
Pterophyllum_Scalare_BB,5.4,124,190,191,305
Pterophyllum_Scalare_Y,5.4,638,373,682,437
Pterophyllum_Scalare_B,5.4,755,488,793,554
Pterophyllum_Scalare_Y,5.4,1063,120,1126,190
G_Matriarche,5.5,602,259,657,353
Ancistrus,5.5,542,667,682,716
Pterophyllum_Scalare_Y,5.5,638,372,682,436
Pterophyllum_Scalare_BB,5.5,122,195,189,312
Pterophyllum_Scalare_YWB,5.5,809,373,908,485
Pterophyllum_Scalare_Y,5.5,1062,120,1125,190
Pterophyllum_Scalare_BB,5.6,605,259,663,368
Pterophyllum_Scalare_YWB,5.6,809,374,907,486
Pterophyllum_Scalare_Y,5.6,1062,120,1125,190
Pterophyllum_Scalare_Y,5.6,639,373,682,436
Pterophyllum_Scalare_BB,5.6,122,201,190,317
Pterophyllum_Scalare_Y,5.7,1061,120,1126,189
